á,a
é,e
í,i
ó,o
ú,u
ñ,n
Tomo I._,'Tomo '
Tomo II._,'Tomo '
Tomo III._,'Tomo '
Tomo IV._,'Tomo '
Tomo V._,'Tomo '
Tomo VI._,'Tomo '
Tomo VII._,'Tomo '
Tomo VIII._,'Tomo '
Tomo IX._,'Tomo '
Tomo X._,'Tomo '
Tomo XI._,'Tomo '
Tomo XII._,'Tomo '
Tomo XIII._,'Tomo '
Tomo XIV._,'Tomo '
Tomo XV._,'Tomo '
Tomo XVI._,'Tomo '
Tomo XVII._,'Tomo '
Tomo XVIII._,'Tomo '
Tomo XIX._,'Tomo '
Tomo XX._,'Tomo '
Tomo XXI._,'Tomo '
Tomo XXII._,Tomo '
Tomo XXIII._,'Tomo '
II,''
III,''
VII,''
IV,''
V,''
VI,''
VIII,''
IX,''
X,''
XI,''
{pg,''
Palaico,Palacio
dificios,edificios
quenes,quienes
fracmasones,francmasones
Méiico,Méjico
covoyes marítimos, convoyes marítimos
distiguida,distinguida
tiene utsed,tiene usted
pemitía,permitía
salidad,salida
hemosa,hermosa
deseperación,desesperación
fueza,fuerza
contamplaba,contemplaba
odivinado,adivinado
Hemano,Hermano
deculpas,'de culpas'
pemita,permita
hemosa,hermosa
quellos,aquellos
Superitendente,Superintendente
únicamete,únicamente

